<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;211021;000000;6296.5000000;6306.5000000;6144.5000000;6158.0000000;230635
MGNT;D;211022;000000;6166.0000000;6419.0000000;6142.0000000;6315.5000000;484507
MGNT;D;211025;000000;6320.0000000;6480.0000000;6283.5000000;6465.0000000;331991
MGNT;D;211026;000000;6469.0000000;6613.5000000;6414.5000000;6570.5000000;445598
MGNT;D;211027;000000;6594.0000000;6704.0000000;6507.5000000;6668.0000000;443068
MGNT;D;211028;000000;6668.0000000;6741.0000000;6551.5000000;6635.0000000;339861
MGNT;D;211029;000000;6620.0000000;6627.0000000;6435.5000000;6472.0000000;329842
MGNT;D;211101;000000;6507.5000000;6565.0000000;6430.0000000;6536.0000000;198637
MGNT;D;211102;000000;6552.5000000;6695.0000000;6504.5000000;6656.0000000;258281
MGNT;D;211103;000000;6667.0000000;6723.5000000;6570.5000000;6712.0000000;284798
MGNT;D;211105;000000;6713.0000000;6842.0000000;6623.0000000;6793.5000000;418598
MGNT;D;211108;000000;6807.0000000;6972.0000000;6791.5000000;6859.5000000;361677
MGNT;D;211109;000000;6879.0000000;7011.5000000;6680.0000000;6729.5000000;507463
MGNT;D;211110;000000;6731.0000000;6731.0000000;6583.0000000;6594.0000000;489789
MGNT;D;211111;000000;6619.5000000;6796.0000000;6470.0000000;6779.0000000;513124
MGNT;D;211112;000000;6794.5000000;6822.0000000;6492.0000000;6568.5000000;705952
MGNT;D;211115;000000;6575.0000000;6640.0000000;6443.5000000;6499.5000000;396228
MGNT;D;211116;000000;6500.0000000;6590.0000000;6460.5000000;6551.0000000;304438
MGNT;D;211117;000000;6557.0000000;6557.0000000;6315.5000000;6405.0000000;406460
MGNT;D;211118;000000;6387.5000000;6427.0000000;5938.0000000;5945.5000000;898753
MGNT;D;211119;000000;5945.5000000;6219.5000000;5796.5000000;6014.0000000;2349502
MGNT;D;211122;000000;6015.5000000;6100.0000000;5749.0000000;5789.5000000;900867
MGNT;D;211123;000000;5740.5000000;5919.0000000;5620.0000000;5917.0000000;742777
MGNT;D;211124;000000;5927.0000000;5973.0000000;5789.0000000;5875.0000000;535221
MGNT;D;211125;000000;5932.5000000;6081.5000000;5880.0000000;6056.0000000;433085
MGNT;D;211126;000000;5973.5000000;5973.5000000;5740.5000000;5775.5000000;544676
MGNT;D;211129;000000;5832.5000000;5914.0000000;5802.0000000;5898.5000000;425202
MGNT;D;211130;000000;5860.0000000;5978.0000000;5698.0000000;5733.0000000;588733
MGNT;D;211201;000000;5754.0000000;5889.0000000;5728.0000000;5768.0000000;432481
MGNT;D;211202;000000;5780.0000000;5824.0000000;5736.0000000;5789.0000000;267767
MGNT;D;211203;000000;5803.0000000;5823.5000000;5693.5000000;5715.5000000;207500
MGNT;D;211206;000000;5745.0000000;5794.0000000;5603.0000000;5650.0000000;295388
MGNT;D;211207;000000;5675.0000000;5850.0000000;5619.5000000;5841.5000000;319388
MGNT;D;211208;000000;5850.0000000;5907.0000000;5680.0000000;5765.0000000;302496
